Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Headley Hall,North Yorkshire,53.8689,-1.3255700000000001,2005,10-Jan,,
Hemingby,Lincolnshire,53.2535,-0.1494,2004,10-Jan,,
High Mowthorpe,North Yorkshire,54.1075,-0.6435,2005,10-Jan,,
Hinstock,Shrops,52.836000000000006,-2.4575,2012,10-Jan,321,10.33
Histon,Cambridgeshire,52.2513,0.1185,2005,10-Jan,,
Histon,Cambs,52.2513,0.1185,2006,10-Jan,,
Histon,Cambs,52.2513,0.1185,2007,10-Jan,,
Hlegh,Ches,53.3537,-2.4508,2013,10-Oct,,11.26
Hlegh,Ches,53.3537,-2.4508,2014,10-Oct,310,10.73
Hlegh,Ches,53.3537,-2.4508,2015,10-Feb,319,11.45
Hlegh,Ches,53.3537,-2.4508,2016,10-Dec,,
Holbeach,Lincs,52.803999999999995,0.0134,2008,14-Oct,,
Holbeach,Lincs,52.803999999999995,0.0134,2009,14-Oct,,
Holbeach,Lincs,52.803999999999995,0.0134,2011,16-Oct,,
HORN,LINCS,53.2073,-0.1124,2002,10-Jan,,
Horncastle,Lincs.,53.2073,-0.1124,2003,10-Jan,,
Hull,ER Yorks.,53.7676,-0.3274,2003,10-Jan,,
Hull,Eyorks,53.7676,-0.3274,2007,10-Jan,,
Humbie,East Lothian,55.8551,-2.8648,2004,10-Jan,,
Humbie,East Lothian,55.8551,-2.8648,2005,10-Jan,,
Humbie,ELoth,55.8551,-2.8648,2006,10-Jan,,
Humbie,ELoth,55.8551,-2.8648,2007,10-Jan,,
Humbie,Eloth,55.8551,-2.8648,2008,10-Feb,,
Humbie,Eloth,55.8551,-2.8648,2009,10-Feb,,
Humbie,Eloth,55.8551,-2.8648,2010,10-May,,
Humbie,Eloth,55.8551,-2.8648,2011,30-Dec,,
Humbie,Eloth,55.8551,-2.8648,2012,10-Jan,349,7.81
Humbie,Eloth,55.8551,-2.8648,2013,10-Jun,,
Humbie,ELoth,55.8551,-2.8648,2014,30-Sep,,12.81
Humbie,Eloth,55.8551,-2.8648,2015,26-Sep,351,14.66
Humbie,ELoth,55.8551,-2.8648,2016,29-Sep,,
Huntwrth,Somset,51.1044,-2.9837,2011,18-Oct,,
Hythe,Kent,51.0717,1.0819,2006,10-Jan,,
Hythe,Kent,51.0717,1.0819,2007,10-Jan,,
Hythe,Kent,51.0717,1.0819,2008,27-Sep,,
Hythe,Kent,51.0717,1.0819,2009,27-Sep,,
Hythe,Kent,51.0717,1.0819,2011,10-Jan,,
Ickleton,Essex,52.0707,0.1743,2012,10-Jan,303,9.57
Ickleton,Essex,52.0707,0.1743,2013,11-Aug,276,9.62
Ickleton,Essex,52.0707,0.1743,2014,10-Oct,292,11.67
Ickleton,Cambs,52.0707,0.1743,2015,10-Aug,301,8.3
Ickleton,Cambs,52.0707,0.1743,2016,10-Oct,,
Ickleton,Cambs,52.0707,0.1743,2017,13-Oct,,
Ince Blundell,Merseyside,53.5239,-3.0258,2004,10-Jan,,
Ince Blundell,Merseyside,53.5239,-3.0258,2005,10-Jan,,
InceBld,Mersey,53.5239,-3.0258,2006,10-Jan,,
ItchnSk,Hants,51.0881,-1.2018,2015,10-Feb,,10.14
K LYNN,NORF,52.7517,0.4023,2002,10-Jan,,
Kelso,ScBord,55.6,-2.4322,2017,10-Mar,,
Kettering,Northants.,52.3963,-0.7302,2003,10-Jan,,
KETT'G,NHANTS,52.3963,-0.7302,2002,10-Jan,,
Keysoe,Beds.,52.2517,-0.4249,2003,10-Jan,,
Kinghorn,Fife,56.0712,-3.1743,2010,25-Sep,,
Kinghorn,Fife,56.0712,-3.1743,2011,10-Oct,,
King's Lynn,Norf.,52.7517,0.4023,2003,10-Jan,,
Kingsbridge,Devon,50.2839,-3.7775,2004,10-Jan,,
Kingston,Devon,51.41259,-3.927,2003,10-Jan,,
K'STON,DEVON,51.41259,-3.927,2002,10-Jan,,
LACEBY,LINCS,53.5419,-0.1692,2002,10-Jan,,
Laurencekirk,Aberdeenshire,56.8313,-2.4725,2004,10-Jan,,
Laurnkrk,Aberdn,56.8313,-2.4725,2006,10-Jan,,
Laurnkrk,Aberdn,56.8313,-2.4725,2007,10-Jan,,
Laurnkrk,Aberdn,56.8313,-2.4725,2008,16-Oct,,
Laurnkrk,Aberdn,56.8313,-2.4725,2009,16-Oct,,
Laurnkrk,Aberdn,56.8313,-2.4725,2010,29-Sep,,
Lawrencekirk,Aberdeenshire,56.8313,-2.4725,2005,10-Jan,,
Lillesdn,Somset,51.0091,-2.9924,2009,11-Apr,,
Lillesdn,Somset,51.0091,-2.9924,2010,28-Oct,,
Limavad,Lderry,55.0455,-6.9337,2007,10-Jan,,
