Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Hasely,Warwick,52.3091,-1.6641,2010,10/1,307,9.51
Hasely,Warwick,52.3091,-1.6641,2011,27/9,,
Headley Hall,North Yorkshire,53.8689,-1.32557,2005,10/1,297,8.41
Hemingby,Lincolnshire,53.2535,-0.1494,2004,10/1,,9.31
High Mowthorpe,North Yorkshire,54.1075,-0.6435,2005,10/1,,11.58
Hinstock,Shrops,52.836,-2.4575,2012,10/1,,
Histon,Cambridgeshire,52.2513,0.1185,2005,10/1,287,11.16
Histon,Cambs,52.2513,0.1185,2006,10/1,296.67,8.85
Histon,Cambs,52.2513,0.1185,2007,10/1,298,10.33
Hlegh,Ches,53.3537,-2.4508,2013,10/10,,
Hlegh,Ches,53.3537,-2.4508,2014,10/10,,
Hlegh,Ches,53.3537,-2.4508,2015,10/2,,
Hlegh,Ches,53.3537,-2.4508,2016,10/12,,
Holbeach,Lincs,52.804,0.0134,2008,14/10,,11.86
Holbeach,Lincs,52.804,0.0134,2009,14/10,282,14.53
Holbeach,Lincs,52.804,0.0134,2011,16/10,,
HORN,LINCS,53.2073,-0.1124,2002,10/1,,8.74
Horncastle,Lincs.,53.2073,-0.1124,2003,10/1,,7.26
Hull,ER Yorks.,53.7676,-0.3274,2003,10/1,,9.57
Hull,Eyorks,53.7676,-0.3274,2007,10/1,296,9.09
Humbie,East Lothian,55.8551,-2.8648,2004,10/1,332,9.05
Humbie,East Lothian,55.8551,-2.8648,2005,10/1,336,12.22
Humbie,ELoth,55.8551,-2.8648,2006,10/1,318.67,12.08
Humbie,ELoth,55.8551,-2.8648,2007,10/1,336,10.47
Humbie,Eloth,55.8551,-2.8648,2008,10/2,337,12.82
Humbie,Eloth,55.8551,-2.8648,2009,10/2,,11.76
Humbie,Eloth,55.8551,-2.8648,2010,10/5,335,13.61
Humbie,Eloth,55.8551,-2.8648,2011,30/12,,
Humbie,Eloth,55.8551,-2.8648,2012,10/1,,
Humbie,Eloth,55.8551,-2.8648,2013,10/6,,
Humbie,ELoth,55.8551,-2.8648,2014,30/9,,
Humbie,Eloth,55.8551,-2.8648,2015,26/9,,
Humbie,ELoth,55.8551,-2.8648,2016,29/9,,
Huntwrth,Somset,51.1044,-2.9837,2011,18/10,,
Hythe,Kent,51.0717,1.0819,2006,10/1,302,10.54
Hythe,Kent,51.0717,1.0819,2007,10/1,301,10.92
Hythe,Kent,51.0717,1.0819,2008,27/9,308,13.06
Hythe,Kent,51.0717,1.0819,2009,27/9,304,13.85
Hythe,Kent,51.0717,1.0819,2011,10/1,,
Ickleton,Cambs,52.0707,0.1743,2015,10/8,,
Ickleton,Cambs,52.0707,0.1743,2016,10/10,,
Ickleton,Cambs,52.0707,0.1743,2017,13/10,,
Ickleton,Essex,52.0707,0.1743,2012,10/1,,
Ickleton,Essex,52.0707,0.1743,2013,11/8,,
Ickleton,Essex,52.0707,0.1743,2014,10/10,,
Ince Blundell,Merseyside,53.5239,-3.0258,2004,10/1,,
Ince Blundell,Merseyside,53.5239,-3.0258,2005,10/1,,8.48
InceBld,Mersey,53.5239,-3.0258,2006,10/1,,10.95
ItchnSk,Hants,51.0881,-1.2018,2015,10/2,,
